PDB code,Per-atom refined?
1JY0,TRUE
1JY1,TRUE
1JY2,TRUE
1JY3,TRUE
1JY4,FALSE
1JY5,TRUE
1JY6,FALSE
1JY7,FALSE
1JY8,TRUE
1JY9,FALSE
1JYA,TRUE
1JYB,TRUE
1JYC,FALSE
1JYD,TRUE
1JYE,TRUE
1JYF,TRUE
1JYH,TRUE
1JYI,FALSE
1JYJ,TRUE
5JYT,FALSE
5JYU,FALSE
5JYV,FALSE
5JYX,TRUE
5JYY,TRUE
1JYL,TRUE
1JYM,TRUE
1JYN,FALSE
1JYO,TRUE
1JYQ,TRUE
1JYR,TRUE
1JYS,TRUE
1JYT,FALSE
1JYU,FALSE
1JYV,FALSE
1JYW,FALSE
1JYX,TRUE
2JY0,FALSE
2JY5,FALSE
2JY6,FALSE
2JY7,FALSE
2JY8,FALSE
2JY9,FALSE
2JYA,FALSE
4JYE,TRUE
4JYF,TRUE
4JYG,TRUE
4JYH,TRUE
4JYI,TRUE
4JYJ,TRUE
4JYK,TRUE
4JYL,TRUE
4JYM,TRUE
4JYO,TRUE
4JYP,TRUE
4JYQ,TRUE
4JYS,TRUE
4JYT,TRUE
4JYU,TRUE
4JYV,TRUE
4JYW,TRUE
4JYX,TRUE
2JYZ,TRUE
3JY0,TRUE
3JY1,TRUE
3JY6,TRUE
3JY9,TRUE
3JYA,TRUE
3JYB,TRUE
3JYC,TRUE
3JYF,TRUE
3JYG,TRUE
3JYH,TRUE
3JYI,TRUE
3JYJ,TRUE
3JYL,TRUE
3JYM,TRUE
3JYN,TRUE
3JYO,TRUE
3JYP,TRUE
3JYQ,TRUE
1JYK,TRUE
2JYB,FALSE
2JYY,FALSE
3JYR,TRUE
4JYD,TRUE
4JYY,TRUE
5JYS,TRUE
4JYZ,TRUE
5JY0,TRUE
5JY1,TRUE
5JY3,TRUE
5JY4,TRUE
5JY5,TRUE
5JY6,TRUE
5JY7,TRUE
5JY8,TRUE
5JY9,TRUE
5JYA,TRUE
5JYB,TRUE
5JYC,TRUE
5JYD,TRUE
5JYE,TRUE
5JYF,TRUE
5JYG,FALSE
5JYH,FALSE
5JYI,TRUE
5JYJ,TRUE
5JYK,TRUE
5JYL,TRUE
5JYM,TRUE
5JYN,FALSE
5JYO,TRUE
5JYP,TRUE
5JYQ,TRUE
2JYD,FALSE
2JYE,FALSE
2JYF,TRUE
2JYG,FALSE
2JYH,TRUE
2JYI,TRUE
2JYJ,TRUE
2JYK,TRUE
2JYL,FALSE
2JYM,TRUE
2JYN,FALSE
2JYO,FALSE
2JYP,FALSE
2JYQ,FALSE
2JYS,FALSE
2JYT,FALSE
2JYU,FALSE
2JYV,FALSE
2JYW,FALSE
3JYS,TRUE
3JYT,FALSE
3JYU,TRUE
3JYY,TRUE
3JYZ,TRUE
4JY0,TRUE
4JY1,TRUE
4JY2,TRUE
4JY3,TRUE
4JY4,TRUE
4JY5,TRUE
4JY6,TRUE
4JY7,TRUE
4JY8,TRUE
4JY9,TRUE
4JYA,TRUE
4JYB,TRUE
4JYC,TRUE
1ZB1,TRUE
1ZB5,TRUE
1ZB6,TRUE
1ZB7,TRUE
1ZB8,TRUE
1ZB9,TRUE
1ZBA,TRUE
1ZBB,FALSE
1ZBC,TRUE
1ZBD,TRUE
1ZBE,TRUE
1ZBF,TRUE
1ZBG,TRUE
1ZBH,TRUE
1ZBI,TRUE
1ZBJ,FALSE
1ZBK,TRUE
1ZBL,TRUE
1ZBM,TRUE
5ZBH,TRUE
5ZBI,TRUE
5ZBQ,TRUE
5ZBR,TRUE
5ZBS,TRUE
5ZBV,TRUE
5ZBY,TRUE
1ZBO,TRUE
1ZBP,TRUE
1ZBQ,TRUE
1ZBR,TRUE
1ZBS,TRUE
1ZBT,TRUE
1ZBU,TRUE
1ZBV,TRUE
1ZBW,TRUE
1ZBX,FALSE
1ZBY,TRUE
1ZBZ,TRUE
2ZB0,TRUE
2ZB1,TRUE
2ZB2,TRUE
2ZB3,TRUE
2ZB4,TRUE
2ZB5,TRUE
2ZB6,TRUE
2ZBS,TRUE
2ZBT,TRUE
2ZBU,TRUE
2ZBV,TRUE
2ZBW,TRUE
2ZBX,TRUE
2ZBY,TRUE
2ZBZ,TRUE
3ZBD,TRUE
3ZBE,FALSE
3ZBF,TRUE
3ZBG,TRUE
3ZBH,TRUE
3ZBI,FALSE
3ZBJ,FALSE
3ZBK,TRUE
3ZBL,TRUE
3ZBM,TRUE
3ZBN,TRUE
1ZBN,FALSE
2ZB7,TRUE
2ZBR,TRUE
3ZBO,TRUE
4ZB7,TRUE
5ZBG,TRUE
4ZB8,TRUE
4ZB9,TRUE
4ZBA,TRUE
4ZBB,TRUE
